year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer359349,il,4.0,17283.0,black,black,enterprise holdings/gdp,13300,13000,2015-04-30 04:00:00
2004,Nissan,Quest,3.5 S,Minivan,automatic,5n1bv28u94n362426,nj,2.1,1.0,gray,gray,purple heart services inc,3975,1150,2015-04-23 11:00:00
2013,Acura,TL,SH-AWD w/Technology Package,Sedan,,19uua9f53da001179,pa,2.9,1.0,black,black,"ahfc/honda lease trust/hvt, inc.",21100,4750,2015-04-10 02:00:00
2014,Chevrolet,Traverse,LT,SUV,automatic,1gnkvgkd1ej311772,il,3.0,22929.0,white,gray,gm remarketing,15850,15400,2015-04-07 03:40:00
2008,Infiniti,G35,Sport,Sedan,,jnkbv61e48m211051,tx,1.0,1.0,silver,gray,wells fargo dealer services,14200,600,2015-04-29 05:30:00
2005,Ford,Econoline Cargo,E-250,Van,automatic,1ftns24w55hb20590,mi,2.0,1.0,burgundy,gray,ari,3875,500,2015-04-23 02:30:00
2003,Ford,F-150,XL,SuperCab,manual,2ftrx17243cb00289,nc,2.8,1.0,white,gray,repo remarketing/first flight federal cu,3900,4200,2015-04-13 02:30:00
2013,Kia,Sorento,LX,SUV,automatic,5xykt3a69dg346388,tx,3.9,70547.0,silver,black,kia motors finance,13100,10300,2015-04-01 03:30:00
2006,Ford,Taurus,SE,Sedan,automatic,1fafp53u16a148264,tx,3.3,2.0,gray,gray,hertz remarketing,2975,10750,2015-04-23 03:30:00
2014,Chevrolet,Equinox,LT,SUV,automatic,2gnflfek5e6255313,il,4.0,28313.0,red,black,gm/enterprise vehicle exchange,14900,19900,2015-04-16 04:00:00
2006,Ford,Escape,XLT Sport,SUV,automatic,1fmyu93106kc80995,az,1.0,1.0,turquoise,gray,a l financial corporation,3725,400,2015-04-08 05:00:00
2014,,,,,,1c4njrab3ed820080,on,5.0,21767.0,white,black,fca canada inc,16900,15000,2015-04-07 03:00:00
2004,Ford,Focus,SE,Sedan,automatic,1fafp34374w130667,nj,2.6,1.0,black,gray,lester glenn buick,4850,600,2015-04-07 02:30:00
2011,Mazda,Mazda3,s Sport,Hatchback,automatic,jm1bl1k57b1478377,tx,3.5,1.0,gray,black,"jpmorgan chase bank,n.a.",13550,400,2015-04-08 03:15:00
2014,Hyundai,Accent,SE,Hatchback,automatic,kmhcu5ae2eu197466,fl,5.0,10.0,silver,black,hyundai motor america/co car open sale,12350,20000,2015-04-28 02:30:00
2014,Subaru,XV Crosstrek,Premium,SUV,automatic,jf2gpacc3e8258643,il,5.0,12595.0,gray,black,subaru of america,20800,23900,2015-04-07 04:00:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn322558,ca,2.0,8383.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,17000,8400,2015-04-01 08:05:00
2014,,,,,,1c4njrabxed820075,on,5.0,20684.0,white,black,fca canada inc,28900,27600,2015-04-21 05:00:00
2006,Cadillac,DTS,Luxury III,Sedan,automatic,1g6kd57y36u108784,tx,3.1,1.0,blue,blue,fiserv/sierra auto finance,8450,1000,2015-04-23 04:00:00
2008,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhp80c685m02329,tx,1.5,1.0,gray,gray,titlemax/windcrest tx1,6475,1400,2015-04-15 05:30:00
