year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,1.9,14538.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300,7200,2015-07-07 09:30:00
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcgxer263526,ca,3.0,26199.0,—,black,enterprise holdings/gdp,29400,15800,2015-07-01 09:30:00
2010,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb2aa236009,ca,4.3,43888.0,white,off-white,mercedes-benz usa,21500,23500,2015-07-07 09:30:00
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h71dr349266,ca,2.6,1.0,white,black,fox rent a car tra,10000,3500,2015-07-02 09:30:00
2014,Infiniti,QX70,Base,SUV,,jn8cs1mu3em452152,ca,4.2,31864.0,black,gray,enterprise veh exchange/rental,31800,29500,2015-07-07 09:00:00
2015,Chevrolet,Suburban,LT,SUV,automatic,1gnskjkc4fr158207,pa,4.0,19410.0,black,black,enterprise veh exchange/rental,11100,46400,2015-07-07 07:00:00
2012,Scion,tC,Base,Hatchback,manual,jtkjf5c76c3044590,mo,3.8,26883.0,black,black,toyota financial services,12650,9000,2015-07-07 06:30:00
2010,Chevrolet,Aveo,1LT,Sedan,automatic,kl1td5de7ab116331,tx,2.4,84436.0,gray,black,santander consumer,3375,3800,2015-07-08 07:00:00
2007,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13047j143664,il,2.0,1.0,gray,black,wells fargo dealer services,17650,11200,2015-07-02 07:00:00
2007,Ford,F-150,XLT,SuperCrew,automatic,1ftrw14w37fb59029,fl,2.8,66511.0,white,gray,1st commercial,14400,10000,2015-07-07 06:15:00
2014,Ford,Mustang,GT,Coupe,manual,1zvbp8cf9e5288370,ne,4.9,12735.0,burgundy,tan,sac fcu,24900,24500,2015-07-02 08:00:00
2006,Toyota,4Runner,Limited,SUV,automatic,jtebt17r768030645,mn,2.9,182113.0,blue,gray,burnsville toyota,9575,9000,2015-07-02 07:30:00
2013,Ford,C-Max Hybrid,SEL,Wagon,automatic,1fadp5bu5dl543428,pa,3.5,35284.0,black,black,budget rent a car/east point,14300,15900,2015-07-08 09:30:00
2013,Ford,Explorer,Sport,SUV,automatic,1fm5k8gt3dgb57416,mi,4.8,22073.0,white,black,"ford motor credit company,llc",18050,36200,2015-07-01 03:00:00
2013,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,5tfju4gn3dx040300,tx,4.3,24224.0,black,gray,fdic leasing,25300,25000,2015-07-01 07:00:00
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1arxcm390691,tn,3.7,39624.0,white,tan,nissan infiniti lt,23200,26800,2015-07-07 07:30:00
2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e14c812456,tx,2.3,1.0,gold,—,spring motor sport,3975,3800,2015-07-09 07:30:00
2010,Audi,A4,2.0T Avant Premium quattro,Wagon,,wauwfaflxaa024461,pa,2.7,95789.0,black,beige,safeway motor corp,13800,13600,2015-07-01 08:15:00
2010,Chevrolet,Malibu,LTZ,Sedan,automatic,1g1ze5ebxaf239501,md,2.0,127314.0,silver,tan,sheehy nissan of waldorf,6225,6400,2015-07-02 06:35:00
2014,Ford,Fusion Hybrid,SE,Sedan,automatic,3fa6p0lu7er294403,ga,3.7,29540.0,black,black,budget rent a car/alabama,16750,17000,2015-07-07 10:10:00
2015,Honda,Odyssey,EX-L,Minivan,,5fnrl5h60fb027102,ca,4.9,10.0,gray,gray,american honda motor company,20000,31500,2015-07-02 05:00:00
2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc3dba90743,ca,4.5,20641.0,black,black,"ford motor credit company,llc pd",14550,16700,2015-07-02 09:30:00
2013,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj0dm194760,ca,3.7,13156.0,black,black,"ford motor credit company,llc pd",27100,11000,2015-07-02 09:30:00
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc2cba93057,ca,3.5,39900.0,silver,black,"ford motor credit company,llc pd",10650,19200,2015-07-02 09:00:00
2012,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm8cfc08461,mo,3.9,46080.0,blue,gray,"ford motor credit company,llc",22200,20900,2015-07-01 07:00:00
2012,Nissan,Sentra,2.0 S,Sedan,,3n1ab6apxcl608065,ca,2.3,61669.0,black,gray,nissan-infiniti lt,7725,9500,2015-07-02 09:00:00
2011,Audi,Q7,3.0T S line Prestige quattro,SUV,automatic,wa1dgafexbd002415,tn,3.7,74653.0,black,gray,butler kia,29500,27500,2015-07-08 07:30:00
2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e37e1142836,fl,4.5,22285.0,silver,black,gm remarketing,15200,14500,2015-07-03 06:20:00
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukrec8eg233825,tx,4.5,17792.0,burgundy,gray,music city autoplex llc,14200,36250,2015-07-01 07:15:00
2000,Toyota,Celica,GT,Hatchback,automatic,jtddr32t9y0033638,tx,1.9,1.0,silver,black,titlemax/san antonio tx24,3650,600,2015-07-01 07:00:00
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f55ce350433,ca,3.9,32959.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",12700,12500,2015-07-02 09:00:00
2011,Jeep,Wrangler,Sport,SUV,manual,1j4aa2d14bl611080,in,2.8,52363.0,orange,black,security national automotive acceptance corp,17700,13000,2015-07-08 07:30:00
2014,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcg6en131401,mi,2.2,14494.0,silver,black,chrysler capital,12500,10900,2015-07-02 06:30:00
2007,Chrysler,Sebring,Base,Sedan,automatic,1c3lc46k47n550663,fl,1.8,1.0,blue,gray,orlando kia east,5700,1500,2015-07-01 05:30:00
2007,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f376003201,wi,4.0,1.0,blue,gray,dupaco community credit union,6725,8000,2015-07-09 17:15:00
2013,Ford,Explorer,Sport,SUV,automatic,1fm5k8gt3dgb62051,mi,2.5,23392.0,silver,black,"ford motor credit company,llc",15550,35600,2015-07-01 07:00:00
2006,Chrysler,300,C,Sedan,automatic,2c3la63h26h282746,ca,3.0,129211.0,black,gray,veros credit,5575,5500,2015-07-01 09:30:00
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f26el200769,mo,2.5,33951.0,white,black,budget of omaha/ars,17950,12100,2015-07-01 07:00:00
2013,Nissan,Versa,1.6 S Plus,Sedan,,3n1cn7ap6dl878207,pr,3.5,16743.0,silver,black,oriental bank,9550,8000,2015-07-02 09:00:00
2014,Chrysler,200,LX,Sedan,,1c3ccbab1en213795,pa,2.9,20153.0,red,black,enterprise-tra,11550,8500,2015-07-06 06:30:00
2005,Chrysler,Crossfire,Limited,Convertible,manual,1c3an65l15x044233,tx,2.0,1.0,blue,gray,purple heart services inc,6675,4800,2015-07-01 07:20:00
2014,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj2em191389,fl,4.2,25346.0,—,black,avis budget group,9650,10200,2015-07-02 06:45:00
2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk7eu826667,nc,3.5,22338.0,—,gray,toyota motor sales usa inc/program,14200,15200,2015-07-09 07:00:00
2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7bm305569,fl,3.8,49246.0,blue,black,nissan infiniti lt,15950,19000,2015-07-07 06:00:00
